state,total_medicaid_enrollees,total_viii_group_enrollees,total_viii_group_newly_eligible_enrollees,total_viii_group_not_newly_eligible_enrollees,updated_year,updated_month,enrollment_year,enrollment_month,notes
"Amer. Samoa",37829,,,,2020,2,2019,4,
Massachusetts,1442299,334027,0,334027,2020,2,2019,4,
Maryland,1229390,310031,310031,0,2020,2,2019,6,
California,12693315,3768859,3762176,6683,2020,2,2019,4,
Georgia,1962735,,,,2020,2,2019,6,
Michigan,2385506,671648,625194,46454,2020,2,2019,6,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Florida,3813445,,,,2020,2,2019,4,
"Dist. Of Col.",260350,107478,66313,41165,2020,2,2019,5,
"Virgin Islands",28835,13376,,13376,2020,2,2019,5,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
"North Dakota",91090,20369,19419,950,2020,2,2019,4,
Pennsylvania,2859247,771932,732808,39124,2020,2,2019,5,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Wisconsin,1182357,,,,2020,2,2019,6,
"Rhode Island",301535,66641,66641,0,2020,2,2019,4,
"Puerto Rico",1240935,424284,,424284,2020,2,2019,4,
"Rhode Island",300970,66686,66686,0,2020,2,2019,6,
Illinois,2566110,655276,547918,107358,2020,2,2019,6,
California,12611814,3741920,3732198,9722,2020,2,2019,5,
Kansas,350174,,,,2020,2,2019,5,
"North Dakota",89590,19908,18981,927,2020,2,2019,5,
Texas,4152831,,,,2020,2,2019,4,
Nebraska,245121,,,,2020,2,2019,4,
Texas,4126343,,,,2020,2,2019,6,
Illinois,2611653,669227,561633,107594,2020,2,2019,4,
Arizona,1861477,423482,105668,317814,2020,2,2019,6,
Maryland,1227887,310074,310074,0,2020,2,2019,5,
Iowa,605338,172015,157117,14898,2020,2,2019,5,
Vermont,168055,55333,0,55333,2020,2,2019,5,
Kansas,341484,,,,2020,2,2019,6,
"New York",6067467,1881383,301405,1579978,2020,2,2019,6,
"South Carolina",1260731,,,,2020,2,2019,5,
"New Mexico",834204,258061,258061,0,2020,2,2019,4,
Montana,252830,95805,95805,0,2020,2,2019,6,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
Colorado,1235646,378962,371819,7143,2020,2,2019,4,
Georgia,1960778,,,,2020,2,2019,4,
Massachusetts,1455990,336735,0,336735,2020,2,2019,6,
Wyoming,55709,,,,2020,2,2019,4,
Wisconsin,1183194,,,,2020,2,2019,5,
Wisconsin,1183431,,,,2020,2,2019,4,
Guam,35692,4193,,4193,2020,2,2019,5,
"N. Mariana Islands",16446,,,,2020,2,2019,5,
"Virgin Islands",29033,13514,,13514,2020,2,2019,6,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
"West Virginia",522211,161875,161875,0,2020,2,2019,5,
Ohio,2828477,555348,555079,269,2020,2,2019,4,
Wyoming,54259,,,,2020,2,2019,6,
Oregon,963477,464391,382716,81675,2020,2,2019,5,
Oklahoma,639764,,,,2020,2,2019,4,
Michigan,2419259,690711,639880,50831,2020,2,2019,4,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Connecticut,950722,266719,242640,24079,2020,2,2019,4,
"Virgin Islands",28626,13248,,13248,2020,2,2019,4,"Virgin Island expanded its Medicaid program by adopting the VIII Group on June 1, 2015"
Minnesota,1060628,190089,189186,903,2020,2,2019,5,
Delaware,218326,62429,9542,52887,2020,2,2019,5,
Nebraska,243894,,,,2020,2,2019,5,
Florida,3771711,,,,2020,2,2019,6,
Missouri,847272,,,,2020,2,2019,6,
Kentucky,1288626,449500,449500,0,2020,2,2019,4,
"North Carolina",2141148,,,,2020,2,2019,5,
Arkansas,825397,250431,249523,908,2020,2,2019,6,
"North Carolina",2112241,,,,2020,2,2019,6,
Arkansas,822617,249308,248377,931,2020,2,2019,5,
Tennessee,1575689,,,,2020,2,2019,4,
Idaho,297787,,,,2020,2,2019,4,
Maine,268056,24824,18981,5843,2020,2,2019,5,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
"Puerto Rico",1209026,420575,,420575,2020,2,2019,6,
Idaho,298258,,,,2020,2,2019,6,
Nevada,586808,209695,209695,0,2020,2,2019,6,
Kentucky,1289799,450707,450707,0,2020,2,2019,6,
"New Hampshire",180873,52421,52137,284,2020,2,2019,6,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Virginia,1470849,255592,255592,0,2020,2,2019,4,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Alabama,1035250,,,,2020,2,2019,6,
"N. Mariana Islands",16229,,,,2020,2,2019,4,
Tennessee,1586376,,,,2020,2,2019,6,
Alaska,206677,51144,51130,14,2020,2,2019,4,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Kansas,354789,,,,2020,2,2019,4,
Virginia,1531721,284466,284466,0,2020,2,2019,6,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Totals,75071007,15462070,12178529,3283541,2020,2,2019,4,
Hawaii,308739,110089,19919,90170,2020,2,2019,5,
Mississippi,674961,,,,2020,2,2019,5,
Totals,74215582,15269635,12003388,3266247,2020,2,2019,6,
Nevada,588394,210158,210158,0,2020,2,2019,5,
"South Dakota",104691,,,,2020,2,2019,5,
"New Jersey",1620134,537233,537233,0,2020,2,2019,4,
Michigan,2402672,680631,632048,48583,2020,2,2019,5,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Arizona,1871082,425811,107086,318725,2020,2,2019,5,
Idaho,298643,,,,2020,2,2019,5,
Vermont,168482,55431,0,55431,2020,2,2019,4,
Tennessee,1584270,,,,2020,2,2019,5,
Oregon,967318,466720,385249,81471,2020,2,2019,4,
Pennsylvania,2848357,765577,726899,38678,2020,2,2019,6,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
"Dist. Of Col.",258517,106551,65573,40978,2020,2,2019,6,
Delaware,218611,62534,9593,52941,2020,2,2019,4,
Connecticut,955463,267707,243615,24092,2020,2,2019,5,
Louisiana,1618198,468309,468309,0,2020,2,2019,5,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
"New York",6116056,1895526,301806,1593720,2020,2,2019,4,
Louisiana,1633613,478930,478930,0,2020,2,2019,4,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
Washington,1727989,550819,536515,14304,2020,2,2019,5,
Washington,1728370,549684,535651,14033,2020,2,2019,6,
"New York",6102146,1890873,301778,1589095,2020,2,2019,5,
Louisiana,1577893,460757,460757,0,2020,2,2019,6,"Louisiana is expanding its Medicaid program by adopting the VIII Group on July 1, 2016."
"South Dakota",104303,,,,2020,2,2019,4,
"North Dakota",88829,19692,18765,927,2020,2,2019,6,
Arizona,1876550,427072,107443,319629,2020,2,2019,4,
Minnesota,1073560,193826,193000,826,2020,2,2019,4,
Mississippi,673247,,,,2020,2,2019,6,
California,12437994,3696925,3684894,12031,2020,2,2019,6,
Alabama,1033498,,,,2020,2,2019,5,
Totals,74812854,15399528,12111460,3288068,2020,2,2019,5,
Washington,1738596,553306,539068,14238,2020,2,2019,4,
Utah,289310,,,,2020,2,2019,6,
Oklahoma,642886,,,,2020,2,2019,5,
"New Hampshire",182244,52903,52622,281,2020,2,2019,5,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Indiana,1307223,309510,309510,0,2020,2,2019,6,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
"New Jersey",1570169,518216,518216,0,2020,2,2019,6,
Missouri,858822,,,,2020,2,2019,5,
"New Hampshire",183038,53424,53138,286,2020,2,2019,4,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014"
Nebraska,241856,,,,2020,2,2019,6,
Alabama,1030917,,,,2020,2,2019,4,
Hawaii,310597,110678,20114,90564,2020,2,2019,4,
Alaska,204493,51172,51157,15,2020,2,2019,6,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Illinois,2592841,661292,553675,107617,2020,2,2019,5,
Florida,3800560,,,,2020,2,2019,5,
"Puerto Rico",1243952,430749,,430749,2020,2,2019,5,
Montana,257505,98741,98741,0,2020,2,2019,4,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"South Dakota",103998,,,,2020,2,2019,6,
Colorado,1234143,380442,373346,7096,2020,2,2019,6,
Hawaii,301359,107314,19235,88079,2020,2,2019,6,
Iowa,606174,172153,157036,15117,2020,2,2019,4,
"South Carolina",1266461,,,,2020,2,2019,4,
Texas,4120865,,,,2020,2,2019,5,
Oregon,958178,461989,380236,81753,2020,2,2019,6,
Delaware,177665,62488,9547,52941,2020,2,2019,6,
Virginia,1502380,271023,271023,0,2020,2,2019,5,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Maine,262988,19812,15399,4413,2020,2,2019,4,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Minnesota,1040633,185011,184151,860,2020,2,2019,6,
Ohio,2763388,526131,525890,241,2020,2,2019,6,
Mississippi,674544,,,,2020,2,2019,4,
"Dist. Of Col.",260916,107772,66510,41262,2020,2,2019,4,
Utah,291922,,,,2020,2,2019,4,
"Amer. Samoa",37829,,,,2020,2,2019,5,
Kentucky,1290594,450702,450702,0,2020,2,2019,5,
"North Carolina",2154624,,,,2020,2,2019,4,
"New Mexico",831546,257784,257784,0,2020,2,2019,5,
"West Virginia",520696,161429,161429,0,2020,2,2019,6,
Maine,270006,28462,21514,6948,2020,2,2019,6,"Maine expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Pennsylvania,2868594,775938,736553,39385,2020,2,2019,4,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Arkansas,829466,250832,249912,920,2020,2,2019,4,
Utah,292719,,,,2020,2,2019,5,
"New Jersey",1604005,531061,531061,0,2020,2,2019,5,
Georgia,1965793,,,,2020,2,2019,5,
Colorado,1235211,379544,372306,7238,2020,2,2019,5,
Massachusetts,1452226,335973,0,335973,2020,2,2019,5,
Nevada,589216,210608,210608,0,2020,2,2019,4,
Vermont,166532,54770,0,54770,2020,2,2019,6,
Indiana,1336106,313191,313191,0,2020,2,2019,4,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
Ohio,2808448,546779,546532,247,2020,2,2019,5,
Iowa,604790,172180,157341,14839,2020,2,2019,6,
Alaska,206036,51347,51330,17,2020,2,2019,5,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Indiana,1323990,313049,313049,0,2020,2,2019,5,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015"
"West Virginia",522250,161591,161591,0,2020,2,2019,4,
Connecticut,952040,267885,243618,24267,2020,2,2019,6,
Montana,255804,97544,97544,0,2020,2,2019,5,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
"Amer. Samoa",37829,,,,2020,2,2019,6,
"Rhode Island",300737,66236,66236,0,2020,2,2019,5,
"South Carolina",1250545,,,,2020,2,2019,6,
Missouri,870719,,,,2020,2,2019,4,
"N. Mariana Islands",16336,,,,2020,2,2019,6,
Guam,35499,4171,,4171,2020,2,2019,6,
Guam,35865,4216,,4216,2020,2,2019,4,
"New Mexico",825498,256424,256424,0,2020,2,2019,6,
Oklahoma,639506,,,,2020,2,2019,6,
Wyoming,54910,,,,2020,2,2019,5,
Maryland,1224567,309844,309844,0,2020,2,2019,4,
